Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species
01-Jun-2008,2008.0,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife",Swimming,Male,14.0,"Hand severed, buttocks bitten",N,15h00,Bull shark
26-May-2008,2008.0,Unprovoked,USA,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,Male,9.0,Biceps & lower arm bitten,N,15h50,
24-May-2008,2008.0,Sea Disaster,BAHAMAS,Grand Bahama Island,Off West End,Sea Disaster,Male,,Boat capsized in squall. 2 bodies scavenged  by sharks,N,,Tiger sharks in area
24-May-2008,2008.0,Unprovoked,MEXICO,Guerro,Playa Linda,Surfing,Male,49.0,Lacerations to right forearm and hand,N,Early morning,3 m shark
23-May-2008,2008.0,Unprovoked,MEXICO,Guerro,Pantla Beach,Surfing,Male,21.0,FATAL,Y,,2 m shark
14-May-2008,2008.0,Unprovoked,FIJI,Yasawa Islands,Turtle Island,Night diving,Male,28.0,FATAL,Y,Night,
10-May-2008,2008.0,Unprovoked,AUSTRALIA,Western Australia,Albany,Swimming,Male,37.0,Severe lacerations to left leg,N,07h30,"White shark, 4m"
07-May-2008,2008.0,Unprovoked,NEW CALEDONIA,North Province,Hienghène,Fishing,Male,40.0,Lower legs bitten,N,14h00,2 small bull sharks
07-May-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,Male,6.0,2 inch laceration to left lower calf.,N,Just before noon,
01-May-2008,2008.0,Provoked,SOUTH AFRICA,,,Fishing,Male,24.0,Leg bitten by shark taken aboard Japanese trawler PROVOKED INCIDENT,N,,
28-Apr-2008,2008.0,Unprovoked,MEXICO,Guerro,Troncones Beach,Surfing,Male,24.0,FATAL    Severe bite to right thigh,Y,Afternoon,Tiger shark
28-Apr-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Male,18.0,3-inch laceration to dorsal surface of left foot,N,11h45,4' shark
27-Apr-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Male,24.0,Calf bitten,N,10h30,
26-Apr-2008,2008.0,Unprovoked,NEW CALEDONIA,North Province,Poindimié,Swimming,Male,32.0,Lacerations to left foot,N,Morning,"Bull shark, 1.8m"
26-Apr-2008,2008.0,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Male,21.0,Puncture wounds to right foot                  PROVOKED INCIDENT,N,09h50,
25-Apr-2008,2008.0,Unprovoked,USA,California,"Solana Beach, San Diego County",Swimming,Male,66.0,FATAL,Y,07h00,"White shark, 12' to 15'"
20-Apr-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Male,14.0,Cuts & punctures to right foot,N,08h45,
20-Apr-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,,Male,,,UNKNOWN,,"Tiger shark, 2.3m "
Reported 19-Apr-2008,2008.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal,Free-diving,Male,,"As he pushd the shark away from his camera, his finger was cut on a tooth",,,"Tiger shark, 13' female"
18-Apr-2008,2008.0,Invalid,MEXICO,Quintana Roo,"Delfines Beach, Cancun",Swimming,Male,32.0,Probable drowning with post-mortem bites,,Evening,"Reported by media as shark attack, but shark involvement prior to death was not confirmed"
17-Apr-2008,2008.0,Invalid,AUSTRALIA,Queensland,"Duranbah, Greenmount Beach",Surfing,Male,19.0,2 puncture wounds to leg,,11h00,Shark involvement not confirmed; thought to be a barracuda bite
15-Apr-2008,2008.0,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,Male,30.0,Puncture wounds to right foot,N,15h00,1.5' to 2' shark
Reported 09-Apr-2008,2008.0,Unprovoked,FIJI,,,Spearfishing,Male,,Left forearm bitten ,N,,
25-Mar-2008,2008.0,Unprovoked,USA,Florida,"Palm Beach Shores, Palm Beach County",Wading,Male,15.0,Shin bitten,N,,6' shark
